Round,Winning Number,Winning Color,Red Bet Win,Black Bet Win,Even Bet Win,Odd Bet Win,Zero Bet Win
19212,22,Black,0,1,1,0,0
19213,23,Red,1,0,0,1,0
19214,6,Black,0,1,1,0,0
19215,2,Black,0,1,1,0,0
19216,31,Black,0,1,0,1,0
19217,19,Red,1,0,0,1,0
19218,17,Black,0,1,0,1,0
19219,31,Black,0,1,0,1,0
19220,31,Black,0,1,0,1,0
19221,17,Black,0,1,0,1,0
19222,33,Black,0,1,0,1,0
19223,10,Black,0,1,1,0,0
19224,29,Black,0,1,0,1,0
19225,23,Red,1,0,0,1,0
19226,30,Red,1,0,1,0,0
19227,23,Red,1,0,0,1,0
19228,9,Red,1,0,0,1,0
19229,10,Black,0,1,1,0,0
19230,14,Red,1,0,1,0,0
19231,7,Red,1,0,0,1,0
19232,9,Red,1,0,0,1,0
19233,3,Red,1,0,0,1,0
19234,34,Red,1,0,1,0,0
19235,32,Red,1,0,1,0,0
19236,32,Red,1,0,1,0,0
19237,9,Red,1,0,0,1,0
19238,33,Black,0,1,0,1,0
19239,34,Red,1,0,1,0,0
19240,14,Red,1,0,1,0,0
19241,11,Black,0,1,0,1,0
19242,0,Green,0,0,0,0,1
19243,12,Red,1,0,1,0,0
19244,21,Red,1,0,0,1,0
19245,12,Red,1,0,1,0,0
19246,11,Black,0,1,0,1,0
19247,36,Red,1,0,1,0,0
19248,33,Black,0,1,0,1,0
19249,3,Red,1,0,0,1,0
19250,27,Red,1,0,0,1,0
19251,31,Black,0,1,0,1,0
19252,36,Red,1,0,1,0,0
19253,17,Black,0,1,0,1,0
19254,26,Black,0,1,1,0,0
19255,19,Red,1,0,0,1,0
19256,15,Black,0,1,0,1,0
19257,29,Black,0,1,0,1,0
19258,26,Black,0,1,1,0,0
19259,11,Black,0,1,0,1,0
19260,32,Red,1,0,1,0,0
19261,16,Red,1,0,1,0,0
19262,15,Black,0,1,0,1,0
19263,13,Black,0,1,0,1,0
19264,7,Red,1,0,0,1,0
19265,10,Black,0,1,1,0,0
19266,13,Black,0,1,0,1,0
19267,12,Red,1,0,1,0,0
19268,16,Red,1,0,1,0,0
19269,32,Red,1,0,1,0,0
19270,17,Black,0,1,0,1,0
19271,12,Red,1,0,1,0,0
19272,20,Black,0,1,1,0,0
19273,16,Red,1,0,1,0,0
19274,27,Red,1,0,0,1,0
19275,10,Black,0,1,1,0,0
19276,7,Red,1,0,0,1,0
19277,32,Red,1,0,1,0,0
19278,25,Red,1,0,0,1,0
19279,31,Black,0,1,0,1,0
19280,31,Black,0,1,0,1,0
19281,26,Black,0,1,1,0,0
19282,14,Red,1,0,1,0,0
19283,14,Red,1,0,1,0,0
19284,0,Green,0,0,0,0,1
19285,9,Red,1,0,0,1,0
19286,30,Red,1,0,1,0,0
19287,25,Red,1,0,0,1,0
19288,33,Black,0,1,0,1,0
19289,20,Black,0,1,1,0,0
19290,6,Black,0,1,1,0,0
19291,32,Red,1,0,1,0,0
19292,23,Red,1,0,0,1,0
19293,21,Red,1,0,0,1,0
19294,34,Red,1,0,1,0,0
19295,34,Red,1,0,1,0,0
19296,8,Black,0,1,1,0,0
19297,28,Black,0,1,1,0,0
19298,3,Red,1,0,0,1,0
19299,32,Red,1,0,1,0,0
19300,16,Red,1,0,1,0,0
19301,24,Black,0,1,1,0,0
19302,20,Black,0,1,1,0,0
19303,23,Red,1,0,0,1,0
19304,19,Red,1,0,0,1,0
19305,15,Black,0,1,0,1,0
19306,21,Red,1,0,0,1,0
19307,11,Black,0,1,0,1,0
19308,12,Red,1,0,1,0,0
19309,17,Black,0,1,0,1,0
19310,16,Red,1,0,1,0,0
19311,14,Red,1,0,1,0,0
19312,6,Black,0,1,1,0,0
19313,10,Black,0,1,1,0,0
19314,20,Black,0,1,1,0,0
19315,2,Black,0,1,1,0,0
19316,18,Red,1,0,1,0,0
19317,35,Black,0,1,0,1,0
19318,8,Black,0,1,1,0,0
19319,33,Black,0,1,0,1,0
19320,31,Black,0,1,0,1,0
19321,9,Red,1,0,0,1,0
19322,25,Red,1,0,0,1,0
19323,0,Green,0,0,0,0,1
19324,16,Red,1,0,1,0,0
19325,33,Black,0,1,0,1,0
19326,17,Black,0,1,0,1,0
19327,21,Red,1,0,0,1,0
19328,16,Red,1,0,1,0,0
19329,2,Black,0,1,1,0,0
19330,2,Black,0,1,1,0,0
19331,18,Red,1,0,1,0,0
19332,30,Red,1,0,1,0,0
19333,27,Red,1,0,0,1,0
19334,9,Red,1,0,0,1,0
19335,33,Black,0,1,0,1,0
19336,15,Black,0,1,0,1,0
19337,21,Red,1,0,0,1,0
19338,17,Black,0,1,0,1,0
19339,25,Red,1,0,0,1,0
19340,16,Red,1,0,1,0,0
19341,2,Black,0,1,1,0,0
19342,28,Black,0,1,1,0,0
19343,15,Black,0,1,0,1,0
19344,22,Black,0,1,1,0,0
19345,23,Red,1,0,0,1,0
19346,18,Red,1,0,1,0,0
19347,20,Black,0,1,1,0,0
19348,3,Red,1,0,0,1,0
19349,20,Black,0,1,1,0,0
19350,18,Red,1,0,1,0,0
19351,13,Black,0,1,0,1,0
19352,25,Red,1,0,0,1,0
19353,4,Black,0,1,1,0,0
19354,1,Red,1,0,0,1,0
19355,24,Black,0,1,1,0,0
19356,10,Black,0,1,1,0,0
19357,31,Black,0,1,0,1,0
19358,10,Black,0,1,1,0,0
19359,16,Red,1,0,1,0,0
19360,7,Red,1,0,0,1,0
19361,24,Black,0,1,1,0,0
19362,17,Black,0,1,0,1,0
19363,0,Green,0,0,0,0,1
19364,22,Black,0,1,1,0,0
19365,20,Black,0,1,1,0,0
19366,9,Red,1,0,0,1,0
19367,0,Green,0,0,0,0,1
19368,21,Red,1,0,0,1,0
19369,0,Green,0,0,0,0,1
19370,20,Black,0,1,1,0,0
19371,12,Red,1,0,1,0,0
19372,25,Red,1,0,0,1,0
19373,10,Black,0,1,1,0,0
19374,10,Black,0,1,1,0,0
19375,26,Black,0,1,1,0,0
19376,1,Red,1,0,0,1,0
19377,2,Black,0,1,1,0,0
19378,35,Black,0,1,0,1,0
19379,24,Black,0,1,1,0,0
19380,2,Black,0,1,1,0,0
19381,17,Black,0,1,0,1,0
19382,17,Black,0,1,0,1,0
19383,22,Black,0,1,1,0,0
19384,11,Black,0,1,0,1,0
19385,2,Black,0,1,1,0,0
19386,17,Black,0,1,0,1,0
19387,22,Black,0,1,1,0,0
19388,7,Red,1,0,0,1,0
19389,11,Black,0,1,0,1,0
19390,12,Red,1,0,1,0,0
19391,9,Red,1,0,0,1,0
19392,11,Black,0,1,0,1,0
19393,34,Red,1,0,1,0,0
19394,3,Red,1,0,0,1,0
19395,1,Red,1,0,0,1,0
19396,31,Black,0,1,0,1,0
19397,1,Red,1,0,0,1,0
19398,30,Red,1,0,1,0,0
19399,6,Black,0,1,1,0,0
19400,9,Red,1,0,0,1,0
19401,21,Red,1,0,0,1,0
19402,16,Red,1,0,1,0,0
19403,0,Green,0,0,0,0,1
19404,10,Black,0,1,1,0,0
19405,35,Black,0,1,0,1,0
19406,28,Black,0,1,1,0,0
19407,22,Black,0,1,1,0,0
19408,22,Black,0,1,1,0,0
19409,21,Red,1,0,0,1,0
19410,15,Black,0,1,0,1,0
19411,19,Red,1,0,0,1,0
19412,7,Red,1,0,0,1,0
19413,5,Red,1,0,0,1,0
19414,12,Red,1,0,1,0,0
19415,36,Red,1,0,1,0,0
19416,33,Black,0,1,0,1,0
19417,25,Red,1,0,0,1,0
19418,0,Green,0,0,0,0,1
19419,18,Red,1,0,1,0,0
19420,21,Red,1,0,0,1,0
19421,15,Black,0,1,0,1,0
19422,0,Green,0,0,0,0,1
19423,28,Black,0,1,1,0,0
19424,15,Black,0,1,0,1,0
19425,32,Red,1,0,1,0,0
19426,10,Black,0,1,1,0,0
19427,23,Red,1,0,0,1,0
19428,10,Black,0,1,1,0,0
19429,24,Black,0,1,1,0,0
19430,21,Red,1,0,0,1,0
19431,7,Red,1,0,0,1,0
19432,27,Red,1,0,0,1,0
19433,20,Black,0,1,1,0,0
19434,11,Black,0,1,0,1,0
19435,26,Black,0,1,1,0,0
19436,22,Black,0,1,1,0,0
19437,7,Red,1,0,0,1,0
19438,18,Red,1,0,1,0,0
19439,31,Black,0,1,0,1,0
19440,17,Black,0,1,0,1,0
19441,5,Red,1,0,0,1,0
19442,5,Red,1,0,0,1,0
19443,18,Red,1,0,1,0,0
19444,26,Black,0,1,1,0,0
19445,28,Black,0,1,1,0,0
19446,29,Black,0,1,0,1,0
19447,11,Black,0,1,0,1,0
19448,10,Black,0,1,1,0,0
19449,30,Red,1,0,1,0,0
19450,14,Red,1,0,1,0,0
19451,23,Red,1,0,0,1,0
19452,17,Black,0,1,0,1,0
19453,16,Red,1,0,1,0,0
19454,10,Black,0,1,1,0,0
19455,26,Black,0,1,1,0,0
19456,4,Black,0,1,1,0,0
19457,15,Black,0,1,0,1,0
19458,32,Red,1,0,1,0,0
19459,26,Black,0,1,1,0,0
19460,9,Red,1,0,0,1,0
19461,18,Red,1,0,1,0,0
19462,25,Red,1,0,0,1,0
19463,25,Red,1,0,0,1,0
19464,3,Red,1,0,0,1,0
19465,1,Red,1,0,0,1,0
19466,2,Black,0,1,1,0,0
19467,1,Red,1,0,0,1,0
19468,12,Red,1,0,1,0,0
19469,16,Red,1,0,1,0,0
19470,35,Black,0,1,0,1,0
19471,15,Black,0,1,0,1,0
19472,5,Red,1,0,0,1,0
19473,11,Black,0,1,0,1,0
19474,14,Red,1,0,1,0,0
19475,32,Red,1,0,1,0,0
19476,9,Red,1,0,0,1,0
19477,21,Red,1,0,0,1,0
19478,5,Red,1,0,0,1,0
19479,21,Red,1,0,0,1,0
19480,6,Black,0,1,1,0,0
19481,11,Black,0,1,0,1,0
19482,31,Black,0,1,0,1,0
19483,32,Red,1,0,1,0,0
19484,27,Red,1,0,0,1,0
19485,11,Black,0,1,0,1,0
19486,15,Black,0,1,0,1,0
19487,22,Black,0,1,1,0,0
19488,5,Red,1,0,0,1,0
19489,17,Black,0,1,0,1,0
19490,10,Black,0,1,1,0,0
19491,30,Red,1,0,1,0,0
19492,28,Black,0,1,1,0,0
19493,22,Black,0,1,1,0,0
19494,22,Black,0,1,1,0,0
19495,0,Green,0,0,0,0,1
19496,10,Black,0,1,1,0,0
19497,36,Red,1,0,1,0,0
19498,15,Black,0,1,0,1,0
19499,22,Black,0,1,1,0,0
19500,14,Red,1,0,1,0,0
19501,10,Black,0,1,1,0,0
19502,31,Black,0,1,0,1,0
19503,28,Black,0,1,1,0,0
19504,9,Red,1,0,0,1,0
19505,18,Red,1,0,1,0,0
19506,4,Black,0,1,1,0,0
19507,5,Red,1,0,0,1,0
19508,3,Red,1,0,0,1,0
19509,28,Black,0,1,1,0,0
19510,3,Red,1,0,0,1,0
19511,32,Red,1,0,1,0,0
19512,0,Green,0,0,0,0,1
19513,25,Red,1,0,0,1,0
19514,0,Green,0,0,0,0,1
19515,35,Black,0,1,0,1,0
19516,6,Black,0,1,1,0,0
19517,22,Black,0,1,1,0,0
19518,30,Red,1,0,1,0,0
19519,20,Black,0,1,1,0,0
19520,35,Black,0,1,0,1,0
19521,31,Black,0,1,0,1,0
19522,24,Black,0,1,1,0,0
19523,29,Black,0,1,0,1,0
19524,14,Red,1,0,1,0,0
19525,7,Red,1,0,0,1,0
19526,21,Red,1,0,0,1,0
19527,34,Red,1,0,1,0,0
19528,25,Red,1,0,0,1,0
19529,3,Red,1,0,0,1,0
19530,35,Black,0,1,0,1,0
19531,27,Red,1,0,0,1,0
19532,36,Red,1,0,1,0,0
19533,30,Red,1,0,1,0,0
19534,26,Black,0,1,1,0,0
19535,5,Red,1,0,0,1,0
19536,31,Black,0,1,0,1,0
19537,0,Green,0,0,0,0,1
19538,15,Black,0,1,0,1,0
19539,22,Black,0,1,1,0,0
19540,8,Black,0,1,1,0,0
19541,26,Black,0,1,1,0,0
19542,9,Red,1,0,0,1,0
19543,7,Red,1,0,0,1,0
19544,33,Black,0,1,0,1,0
19545,22,Black,0,1,1,0,0
19546,27,Red,1,0,0,1,0
19547,21,Red,1,0,0,1,0
19548,0,Green,0,0,0,0,1
19549,10,Black,0,1,1,0,0
19550,13,Black,0,1,0,1,0
19551,35,Black,0,1,0,1,0
19552,17,Black,0,1,0,1,0
19553,14,Red,1,0,1,0,0
19554,6,Black,0,1,1,0,0
19555,36,Red,1,0,1,0,0
19556,14,Red,1,0,1,0,0
19557,9,Red,1,0,0,1,0
19558,1,Red,1,0,0,1,0
19559,23,Red,1,0,0,1,0
19560,17,Black,0,1,0,1,0
19561,19,Red,1,0,0,1,0
19562,31,Black,0,1,0,1,0
19563,13,Black,0,1,0,1,0
19564,17,Black,0,1,0,1,0
19565,20,Black,0,1,1,0,0
19566,5,Red,1,0,0,1,0
19567,0,Green,0,0,0,0,1
19568,15,Black,0,1,0,1,0
19569,9,Red,1,0,0,1,0
19570,14,Red,1,0,1,0,0
19571,2,Black,0,1,1,0,0
19572,19,Red,1,0,0,1,0
19573,12,Red,1,0,1,0,0
19574,10,Black,0,1,1,0,0
19575,30,Red,1,0,1,0,0
19576,29,Black,0,1,0,1,0
19577,21,Red,1,0,0,1,0
19578,16,Red,1,0,1,0,0
19579,25,Red,1,0,0,1,0
19580,9,Red,1,0,0,1,0
19581,35,Black,0,1,0,1,0
19582,20,Black,0,1,1,0,0
19583,24,Black,0,1,1,0,0
19584,6,Black,0,1,1,0,0
19585,4,Black,0,1,1,0,0
19586,23,Red,1,0,0,1,0
19587,26,Black,0,1,1,0,0
19588,32,Red,1,0,1,0,0
19589,22,Black,0,1,1,0,0
19590,29,Black,0,1,0,1,0
19591,20,Black,0,1,1,0,0
19592,36,Red,1,0,1,0,0
19593,30,Red,1,0,1,0,0
19594,22,Black,0,1,1,0,0
19595,1,Red,1,0,0,1,0
19596,17,Black,0,1,0,1,0
19597,20,Black,0,1,1,0,0
19598,15,Black,0,1,0,1,0
19599,27,Red,1,0,0,1,0
19600,9,Red,1,0,0,1,0
19601,25,Red,1,0,0,1,0
19602,0,Green,0,0,0,0,1
19603,7,Red,1,0,0,1,0
19604,31,Black,0,1,0,1,0
19605,22,Black,0,1,1,0,0
19606,19,Red,1,0,0,1,0
19607,22,Black,0,1,1,0,0
19608,28,Black,0,1,1,0,0
19609,26,Black,0,1,1,0,0
19610,4,Black,0,1,1,0,0
19611,3,Red,1,0,0,1,0
19612,21,Red,1,0,0,1,0
19613,24,Black,0,1,1,0,0
19614,8,Black,0,1,1,0,0
19615,3,Red,1,0,0,1,0
19616,21,Red,1,0,0,1,0
19617,7,Red,1,0,0,1,0
19618,17,Black,0,1,0,1,0
19619,14,Red,1,0,1,0,0
19620,27,Red,1,0,0,1,0
19621,13,Black,0,1,0,1,0
19622,9,Red,1,0,0,1,0
19623,3,Red,1,0,0,1,0
19624,32,Red,1,0,1,0,0
19625,3,Red,1,0,0,1,0
19626,9,Red,1,0,0,1,0
19627,29,Black,0,1,0,1,0
19628,23,Red,1,0,0,1,0
19629,2,Black,0,1,1,0,0
19630,16,Red,1,0,1,0,0
19631,25,Red,1,0,0,1,0
19632,8,Black,0,1,1,0,0
19633,11,Black,0,1,0,1,0
19634,1,Red,1,0,0,1,0
19635,21,Red,1,0,0,1,0
19636,30,Red,1,0,1,0,0
19637,33,Black,0,1,0,1,0
19638,23,Red,1,0,0,1,0
19639,34,Red,1,0,1,0,0
19640,33,Black,0,1,0,1,0
19641,27,Red,1,0,0,1,0
19642,32,Red,1,0,1,0,0
19643,22,Black,0,1,1,0,0
19644,1,Red,1,0,0,1,0
19645,1,Red,1,0,0,1,0
19646,32,Red,1,0,1,0,0
19647,33,Black,0,1,0,1,0
19648,24,Black,0,1,1,0,0
19649,34,Red,1,0,1,0,0
19650,19,Red,1,0,0,1,0
19651,25,Red,1,0,0,1,0
19652,14,Red,1,0,1,0,0
19653,14,Red,1,0,1,0,0
19654,3,Red,1,0,0,1,0
19655,2,Black,0,1,1,0,0
19656,20,Black,0,1,1,0,0
19657,8,Black,0,1,1,0,0
19658,0,Green,0,0,0,0,1
19659,5,Red,1,0,0,1,0
19660,9,Red,1,0,0,1,0
19661,29,Black,0,1,0,1,0
19662,28,Black,0,1,1,0,0
19663,10,Black,0,1,1,0,0
19664,32,Red,1,0,1,0,0
19665,11,Black,0,1,0,1,0
19666,33,Black,0,1,0,1,0
19667,10,Black,0,1,1,0,0
19668,10,Black,0,1,1,0,0
19669,22,Black,0,1,1,0,0
19670,31,Black,0,1,0,1,0
19671,5,Red,1,0,0,1,0
19672,25,Red,1,0,0,1,0
19673,29,Black,0,1,0,1,0
19674,9,Red,1,0,0,1,0
19675,10,Black,0,1,1,0,0
19676,11,Black,0,1,0,1,0
19677,31,Black,0,1,0,1,0
19678,33,Black,0,1,0,1,0
19679,11,Black,0,1,0,1,0
19680,30,Red,1,0,1,0,0
19681,32,Red,1,0,1,0,0
19682,28,Black,0,1,1,0,0
19683,2,Black,0,1,1,0,0
19684,15,Black,0,1,0,1,0
19685,9,Red,1,0,0,1,0
19686,15,Black,0,1,0,1,0
19687,16,Red,1,0,1,0,0
19688,3,Red,1,0,0,1,0
19689,23,Red,1,0,0,1,0
19690,18,Red,1,0,1,0,0
19691,24,Black,0,1,1,0,0
19692,17,Black,0,1,0,1,0
19693,3,Red,1,0,0,1,0
19694,18,Red,1,0,1,0,0
19695,29,Black,0,1,0,1,0
19696,30,Red,1,0,1,0,0
19697,22,Black,0,1,1,0,0
19698,30,Red,1,0,1,0,0
19699,9,Red,1,0,0,1,0
19700,27,Red,1,0,0,1,0
19701,5,Red,1,0,0,1,0
19702,2,Black,0,1,1,0,0
19703,4,Black,0,1,1,0,0
19704,13,Black,0,1,0,1,0
19705,17,Black,0,1,0,1,0
19706,2,Black,0,1,1,0,0
19707,5,Red,1,0,0,1,0
19708,21,Red,1,0,0,1,0
19709,5,Red,1,0,0,1,0
19710,25,Red,1,0,0,1,0
19711,13,Black,0,1,0,1,0
19712,16,Red,1,0,1,0,0
19713,28,Black,0,1,1,0,0
19714,15,Black,0,1,0,1,0
19715,27,Red,1,0,0,1,0
19716,33,Black,0,1,0,1,0
19717,21,Red,1,0,0,1,0
19718,2,Black,0,1,1,0,0
19719,22,Black,0,1,1,0,0
19720,1,Red,1,0,0,1,0
19721,2,Black,0,1,1,0,0
19722,14,Red,1,0,1,0,0
19723,26,Black,0,1,1,0,0
19724,25,Red,1,0,0,1,0
19725,33,Black,0,1,0,1,0
19726,34,Red,1,0,1,0,0
19727,22,Black,0,1,1,0,0
19728,26,Black,0,1,1,0,0
19729,14,Red,1,0,1,0,0
19730,8,Black,0,1,1,0,0
19731,11,Black,0,1,0,1,0
19732,7,Red,1,0,0,1,0
19733,35,Black,0,1,0,1,0
19734,5,Red,1,0,0,1,0
19735,1,Red,1,0,0,1,0
19736,33,Black,0,1,0,1,0
19737,30,Red,1,0,1,0,0
19738,22,Black,0,1,1,0,0
19739,13,Black,0,1,0,1,0
19740,19,Red,1,0,0,1,0
19741,15,Black,0,1,0,1,0
19742,0,Green,0,0,0,0,1
19743,15,Black,0,1,0,1,0
19744,27,Red,1,0,0,1,0
19745,36,Red,1,0,1,0,0
19746,11,Black,0,1,0,1,0
19747,34,Red,1,0,1,0,0
19748,32,Red,1,0,1,0,0
19749,16,Red,1,0,1,0,0
19750,17,Black,0,1,0,1,0
19751,32,Red,1,0,1,0,0
19752,1,Red,1,0,0,1,0
19753,29,Black,0,1,0,1,0
19754,21,Red,1,0,0,1,0
19755,8,Black,0,1,1,0,0
19756,29,Black,0,1,0,1,0
19757,25,Red,1,0,0,1,0
19758,7,Red,1,0,0,1,0
19759,22,Black,0,1,1,0,0
19760,11,Black,0,1,0,1,0
19761,22,Black,0,1,1,0,0
19762,29,Black,0,1,0,1,0
19763,1,Red,1,0,0,1,0
19764,27,Red,1,0,0,1,0
19765,35,Black,0,1,0,1,0
19766,36,Red,1,0,1,0,0
19767,25,Red,1,0,0,1,0
19768,36,Red,1,0,1,0,0
19769,0,Green,0,0,0,0,1
19770,10,Black,0,1,1,0,0
19771,15,Black,0,1,0,1,0
19772,24,Black,0,1,1,0,0
19773,4,Black,0,1,1,0,0
19774,23,Red,1,0,0,1,0
19775,5,Red,1,0,0,1,0
19776,35,Black,0,1,0,1,0
19777,4,Black,0,1,1,0,0
19778,19,Red,1,0,0,1,0
19779,10,Black,0,1,1,0,0
19780,18,Red,1,0,1,0,0
19781,31,Black,0,1,0,1,0
19782,20,Black,0,1,1,0,0
19783,29,Black,0,1,0,1,0
19784,18,Red,1,0,1,0,0
19785,13,Black,0,1,0,1,0
19786,35,Black,0,1,0,1,0
19787,5,Red,1,0,0,1,0
19788,17,Black,0,1,0,1,0
19789,15,Black,0,1,0,1,0
19790,34,Red,1,0,1,0,0
19791,22,Black,0,1,1,0,0
19792,8,Black,0,1,1,0,0
19793,9,Red,1,0,0,1,0
19794,4,Black,0,1,1,0,0
19795,34,Red,1,0,1,0,0
19796,22,Black,0,1,1,0,0
19797,6,Black,0,1,1,0,0
19798,5,Red,1,0,0,1,0
19799,19,Red,1,0,0,1,0
19800,25,Red,1,0,0,1,0
19801,5,Red,1,0,0,1,0
19802,17,Black,0,1,0,1,0
19803,32,Red,1,0,1,0,0
19804,15,Black,0,1,0,1,0
19805,22,Black,0,1,1,0,0
19806,10,Black,0,1,1,0,0
19807,7,Red,1,0,0,1,0
19808,2,Black,0,1,1,0,0
19809,14,Red,1,0,1,0,0
19810,21,Red,1,0,0,1,0
19811,36,Red,1,0,1,0,0
19812,16,Red,1,0,1,0,0
19813,23,Red,1,0,0,1,0
19814,16,Red,1,0,1,0,0
19815,26,Black,0,1,1,0,0
19816,36,Red,1,0,1,0,0
19817,9,Red,1,0,0,1,0
19818,26,Black,0,1,1,0,0
19819,33,Black,0,1,0,1,0
19820,34,Red,1,0,1,0,0
19821,30,Red,1,0,1,0,0
19822,19,Red,1,0,0,1,0
19823,34,Red,1,0,1,0,0
19824,3,Red,1,0,0,1,0
19825,4,Black,0,1,1,0,0
19826,27,Red,1,0,0,1,0
19827,23,Red,1,0,0,1,0
19828,3,Red,1,0,0,1,0
19829,36,Red,1,0,1,0,0
19830,34,Red,1,0,1,0,0
19831,33,Black,0,1,0,1,0
19832,6,Black,0,1,1,0,0
19833,30,Red,1,0,1,0,0
19834,26,Black,0,1,1,0,0
19835,10,Black,0,1,1,0,0
19836,24,Black,0,1,1,0,0
19837,1,Red,1,0,0,1,0
19838,6,Black,0,1,1,0,0
19839,27,Red,1,0,0,1,0
19840,25,Red,1,0,0,1,0
19841,24,Black,0,1,1,0,0
19842,9,Red,1,0,0,1,0
19843,8,Black,0,1,1,0,0
19844,25,Red,1,0,0,1,0
19845,27,Red,1,0,0,1,0
19846,2,Black,0,1,1,0,0
19847,29,Black,0,1,0,1,0
19848,8,Black,0,1,1,0,0
19849,8,Black,0,1,1,0,0
19850,14,Red,1,0,1,0,0
19851,25,Red,1,0,0,1,0
19852,21,Red,1,0,0,1,0
19853,2,Black,0,1,1,0,0
19854,18,Red,1,0,1,0,0
19855,4,Black,0,1,1,0,0
19856,34,Red,1,0,1,0,0
19857,29,Black,0,1,0,1,0
19858,1,Red,1,0,0,1,0
19859,24,Black,0,1,1,0,0
19860,18,Red,1,0,1,0,0
19861,5,Red,1,0,0,1,0
19862,11,Black,0,1,0,1,0
19863,4,Black,0,1,1,0,0
19864,17,Black,0,1,0,1,0
19865,7,Red,1,0,0,1,0
19866,16,Red,1,0,1,0,0
19867,20,Black,0,1,1,0,0
19868,0,Green,0,0,0,0,1
19869,5,Red,1,0,0,1,0
19870,9,Red,1,0,0,1,0
19871,29,Black,0,1,0,1,0
19872,19,Red,1,0,0,1,0
19873,6,Black,0,1,1,0,0
19874,5,Red,1,0,0,1,0
19875,5,Red,1,0,0,1,0
19876,11,Black,0,1,0,1,0
19877,8,Black,0,1,1,0,0
19878,4,Black,0,1,1,0,0
19879,13,Black,0,1,0,1,0
19880,34,Red,1,0,1,0,0
19881,26,Black,0,1,1,0,0
19882,32,Red,1,0,1,0,0
19883,10,Black,0,1,1,0,0
19884,3,Red,1,0,0,1,0
19885,21,Red,1,0,0,1,0
19886,28,Black,0,1,1,0,0
19887,25,Red,1,0,0,1,0
19888,2,Black,0,1,1,0,0
19889,17,Black,0,1,0,1,0
19890,1,Red,1,0,0,1,0
19891,32,Red,1,0,1,0,0
19892,12,Red,1,0,1,0,0
19893,3,Red,1,0,0,1,0
19894,15,Black,0,1,0,1,0
19895,7,Red,1,0,0,1,0
19896,4,Black,0,1,1,0,0
19897,33,Black,0,1,0,1,0
19898,0,Green,0,0,0,0,1
19899,6,Black,0,1,1,0,0
19900,10,Black,0,1,1,0,0
19901,8,Black,0,1,1,0,0
19902,11,Black,0,1,0,1,0
19903,17,Black,0,1,0,1,0
19904,2,Black,0,1,1,0,0
19905,9,Red,1,0,0,1,0
19906,28,Black,0,1,1,0,0
19907,18,Red,1,0,1,0,0
19908,23,Red,1,0,0,1,0
19909,33,Black,0,1,0,1,0
19910,19,Red,1,0,0,1,0
19911,17,Black,0,1,0,1,0
19912,18,Red,1,0,1,0,0
19913,7,Red,1,0,0,1,0
19914,10,Black,0,1,1,0,0
19915,28,Black,0,1,1,0,0
19916,19,Red,1,0,0,1,0
19917,4,Black,0,1,1,0,0
19918,35,Black,0,1,0,1,0
19919,2,Black,0,1,1,0,0
19920,8,Black,0,1,1,0,0
19921,17,Black,0,1,0,1,0
19922,2,Black,0,1,1,0,0
19923,5,Red,1,0,0,1,0
19924,15,Black,0,1,0,1,0
19925,1,Red,1,0,0,1,0
19926,14,Red,1,0,1,0,0
19927,34,Red,1,0,1,0,0
19928,29,Black,0,1,0,1,0
19929,8,Black,0,1,1,0,0
19930,25,Red,1,0,0,1,0
19931,19,Red,1,0,0,1,0
19932,9,Red,1,0,0,1,0
19933,14,Red,1,0,1,0,0
19934,32,Red,1,0,1,0,0
19935,6,Black,0,1,1,0,0
19936,7,Red,1,0,0,1,0
19937,11,Black,0,1,0,1,0
19938,22,Black,0,1,1,0,0
19939,5,Red,1,0,0,1,0
19940,35,Black,0,1,0,1,0
19941,11,Black,0,1,0,1,0
19942,14,Red,1,0,1,0,0
19943,4,Black,0,1,1,0,0
19944,26,Black,0,1,1,0,0
19945,13,Black,0,1,0,1,0
19946,24,Black,0,1,1,0,0
19947,11,Black,0,1,0,1,0
19948,4,Black,0,1,1,0,0
19949,36,Red,1,0,1,0,0
19950,12,Red,1,0,1,0,0
19951,24,Black,0,1,1,0,0
19952,5,Red,1,0,0,1,0
19953,4,Black,0,1,1,0,0
19954,2,Black,0,1,1,0,0
19955,32,Red,1,0,1,0,0
19956,15,Black,0,1,0,1,0
19957,28,Black,0,1,1,0,0
19958,28,Black,0,1,1,0,0
19959,18,Red,1,0,1,0,0
19960,4,Black,0,1,1,0,0
19961,25,Red,1,0,0,1,0
19962,22,Black,0,1,1,0,0
19963,34,Red,1,0,1,0,0
19964,6,Black,0,1,1,0,0
19965,14,Red,1,0,1,0,0
19966,5,Red,1,0,0,1,0
19967,27,Red,1,0,0,1,0
19968,29,Black,0,1,0,1,0
19969,8,Black,0,1,1,0,0
19970,21,Red,1,0,0,1,0
19971,6,Black,0,1,1,0,0
19972,17,Black,0,1,0,1,0
19973,23,Red,1,0,0,1,0
19974,15,Black,0,1,0,1,0
19975,18,Red,1,0,1,0,0
19976,30,Red,1,0,1,0,0
19977,17,Black,0,1,0,1,0
19978,27,Red,1,0,0,1,0
19979,21,Red,1,0,0,1,0
19980,36,Red,1,0,1,0,0
19981,6,Black,0,1,1,0,0
19982,21,Red,1,0,0,1,0
19983,20,Black,0,1,1,0,0
19984,21,Red,1,0,0,1,0
19985,2,Black,0,1,1,0,0
